tag	spcode	x	y	dbh1	dbh2	dbh3	recr1	recr2	recr3	pom1	pom2	pom3	code1	code2	code3	mult1	mult2	mult3	date1	date2	date3
000001	PROTTE	3.0	0.9	171	267	277	A	A	A	1	2	2	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000002	COCCPA	0.1	0.6	13	14	17	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000003	EUGEPR	1.3	2.3	26	33	39	A	A	A	1	2	2	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000004	PROTTE	2.2	3.4	10	17	19	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000005	CLAVME	3.5	3.7	14	15	15	A	A	A	1	1	1	ML	ML	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000006	PROTTE	4.3	4.7	12	26	25	A	A	A	1	2	2	*	*	M	1	1	2	11/02/1994	11/11/1997	11/23/1998
000007	POUTCA	3.7	7.0	15	19	19	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000008	SWARS1	4.1	6.3	78	78	78	A	A	A	1	1	1	ML	ML	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000009	RINOLI	1.5	11.0	29	30	29	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000010	COCCPA	0.9	14.0	28	29	33	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000011	CAL2CA	4.0	13.2	69	69	65	A	A	A	1	1	1	ML	ML	M	7	4	4	11/02/1994	11/11/1997	11/23/1998
000012	CLAVME	3.4	12.7	11	11	10	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000013	BACTMA	2.0	16.2	33	38	0	A	A	B	1	1	2	*	M	R	1	2	1	11/02/1994	11/11/1997	11/23/1998
000014	TRI2PL	3.8	19.7	316	323	330	A	A	A	1	2	2	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000015	FARAOC	4.9	18.6	15	15	16	A	A	A	1	1	1	L	L	ML	1	1	2	11/02/1994	11/11/1997	11/23/1998
000016	FARAOC	4.0	18.7	54	57	57	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000017	EUGEPR	3.6	18.4	14	14	13	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000018	PROTTE	8.8	16.3	11	21	24	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000019	ALIBED	8.8	15.6	21	28	29	A	A	A	1	1	1	*	M	M	1	2	2	11/02/1994	11/11/1997	11/23/1998
000020	CUPASY	8.3	15.5	12	18	20	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000021	POSOLA	7.1	15.6	26	25	25	A	A	A	1	2	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000022	CLAVME	6.3	17.0	13	12	11	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000023	CLAVME	7.2	16.9	10	0	0	A	B	B	1	2	2	*	R	*	1	-1	1	11/02/1994	11/11/1997	11/23/1998
000024	POSOLA	8.6	19.3	49	55	54	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000025	SWARS1	6.0	10.1	68	29	35	A	A	A	1	1	1	L	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000026	COCCPA	6.8	10.5	73	73	74	A	A	A	1	1	1	M	M	M	6	5	5	11/02/1994	11/11/1997	11/23/1998
000027	THEVAH	9.3	14.8	14	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000028	SWARS1	9.7	13.7	73	76	76	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000029	MICOAR	9.0	5.1	15	-1	-1	A	D	D	1	0	0	*	DC	DT	1	-1	-1	11/02/1994	11/11/1997	11/23/1998
000030	LACIAG	6.9	8.7	12	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
