tag	dbh
000003	33
000003	14
000005	15
000005	12
000007	19
000007	14
000008	78
000008	26
000009	30
000009	19
000011	69
000011	39
000011	20
000011	14
000013	38
000013	34
000019	28
000019	13
000026	73
000026	38
000026	19
000026	22
000026	13
000031	205
000031	15
000037	13
000037	10
000038	22
000038	19
000040	11
000040	10
000041	17
000041	20
000041	15
000043	36
000043	28
000044	15
000044	10
000048	31
000048	25
000048	30
000051	36
000051	22
000051	22
000051	12
000057	28
000057	40
000057	30
000057	31
000058	44
000058	24
000058	36
000058	25
000060	16
000060	17
000061	16
000061	18
000062	23
000062	18
000065	16
000065	16
000068	12
000068	11
000075	26
000075	25
000077	30
000077	26
000077	28
000077	33
000079	14
000079	11
000082	23
000082	12
000084	16
000084	15
000084	27
000088	31
000088	15
000092	31
000092	15
000095	34
000095	19
000102	38
000102	14
000103	15
000103	15
000106	34
000106	13
000110	44
000110	44
000115	14
000115	27
000115	37
000115	35
000120	69
000120	16
000123	33
000123	20
000123	14
000126	19
000126	12
000139	240
000139	10
000140	37
000140	22
000140	34
000140	10
000141	76
000141	19
000144	17
000144	12
000146	19
000146	15
000152	47
000152	37
000152	12
000153	78
000153	44
000155	79
000155	56
000155	55
000155	43
000159	51
000159	18
000163	29
000163	26
000170	33
000170	14
000172	31
000172	17
000176	63
000176	16
000176	14
000181	17
000181	16
000181	11
000183	133
000183	24
000185	27
000185	14
000187	15
000187	10
000189	33
000189	15
000191	63
000191	49
000193	21
000193	11
000199	42
000199	28
000199	20
000205	38
000205	22
000215	26
000215	15
000215	10
000227	72
000227	10
000232	27
000232	21
000235	34
000235	28
000235	18
000235	13
000235	11
000236	37
000236	25
000236	14
000236	15
000236	11
000236	18
000236	12
000237	16
000237	11
000238	16
000238	12
000240	32
000240	24
000240	11
000240	10
000250	14
000250	11
000251	12
000251	11
000254	28
000254	14
000256	46
000256	13
000256	12
000276	36
000276	11
000285	30
000285	24
000285	23
000285	21
000290	53
000290	31
000291	32
000291	18
000298	23
000298	15
000304	11
000304	11
000306	299
000306	14
000306	14
000308	19
000308	12
000309	16
000309	14
000309	11
000310	36
000310	22
000311	17
000311	12
000319	27
000319	20
000320	14
000320	13
000326	138
000326	73
000326	54
000326	15
000326	13
000326	17
000332	38
000332	31
000336	39
000336	26
000337	28
000337	15
000337	11
000337	11
000344	110
000344	41
000346	13
000346	11
000347	13
000347	10
000359	58
000359	56
000359	32
000359	26
000360	21
000360	17
000366	18
000366	27
000376	43
000376	34
000380	61
000380	23
000388	15
000388	13
000391	47
000391	45
000410	18
000410	13
000411	22
000411	12
000411	12
000416	42
000416	27
000422	28
000422	24
000450	29
000450	14
000462	29
000462	18
000462	16
000464	14
000464	11
000464	10
000465	11
000465	10
000487	19
000487	13
000488	15
000488	11
000498	28
000498	21
000498	18
000498	15
000504	18
000504	14
000504	12
000506	15
000506	12
000515	17
000515	16
000524	17
000524	10
000539	121
000539	114
000545	35
000545	32
000546	12
000546	12
000547	11
000547	10
000554	34
000554	14
000555	22
000555	17
000555	11
000564	15
000564	12
000577	29
000577	11
000589	22
000589	19
000589	10
000590	22
000590	14
000594	32
000594	11
000597	13
000597	12
000604	36
000604	13
000604	13
000607	57
000607	24
000614	19
000614	16
000618	55
000618	49
000619	25
000619	12
000622	32
000622	10
000623	12
000623	10
000627	34
000627	10
000629	24
000629	10
000634	16
000634	12
000646	16
000646	16
000649	34
000649	20
000649	12
000654	52
000654	51
000654	27
000654	13
000657	14
000657	11
000660	24
000660	23
000660	21
000660	19
000664	24
000664	12
000665	39
000665	19
000669	191
000669	126
000677	34
000677	16
000683	41
000683	26
000725	17
000725	10
000729	40
000729	39
000729	37
000729	29
000730	18
000730	13
000734	27
000734	18
000735	34
000735	13
000735	12
000769	39
000769	36
000769	32
000769	36
000769	33
000769	36
000773	38
000773	37
000773	33
000774	22
000774	17
000775	37
000775	28
000779	24
000779	23
000780	49
000780	19
000783	22
000783	17
000784	18
000784	13
000793	29
000793	13
000818	19
000818	18
000825	62
000825	17
000825	13
000825	11
000825	11
000835	18
000835	17
000851	26
000851	21
000901	41
000901	22
000901	18
000917	20
000917	18
000925	14
000925	14
000927	335
000927	173
000930	39
000930	36
000933	17
000933	10
000944	43
000944	12
000944	12
000945	37
000945	10
000950	67
000950	13
000954	17
000954	14
000956	34
000956	12
000970	19
000970	16
000975	20
000975	18
000975	14
000977	14
000977	11
000978	12
000978	12
000983	27
000983	20
000983	15
000989	48
000989	19
000994	37
000994	21
001008	76
001008	60
001009	27
001009	13
001011	61
001011	14
001021	14
001021	11
001023	19
001023	13
001031	29
001031	21
001033	21
001033	11
001034	21
001034	18
001035	19
001035	13
001054	60
001054	19
001086	33
001086	33
001099	32
001099	27
001100	33
001100	28
001100	30
001100	28
001100	31
001106	25
001106	17
001120	49
001120	15
001122	29
001122	10
001123	38
001123	29
001130	97
001130	36
001130	22
001137	22
001137	21
001138	29
001138	24
001138	11
001145	34
001145	24
001150	29
001150	11
001151	16
001151	11
001165	115
001165	104
001165	91
001165	42
001165	20
001165	16
001169	36
001169	32
001169	27
001172	32
001172	14
001172	22
001178	14
001178	13
001184	24
001184	33
001188	143
001188	18
001191	16
001191	13
001196	47
001196	41
001197	41
001197	32
001200	17
001200	12
001203	12
001203	13
001204	14
001204	13
001204	12
001205	26
001205	17
001205	11
001210	41
001210	32
001234	21
001234	15
001235	33
001235	21
001235	20
001235	21
001236	15
001236	11
001236	10
001237	33
001237	23
001248	27
001248	24
001248	16
001248	12
001249	14
001249	14
001252	57
001252	52
001256	40
001256	31
001256	19
001258	26
001258	15
001259	155
001259	20
001259	16
001268	17
001268	16
001270	36
001270	21
001272	17
001272	15
001274	31
001274	14
001274	15
001274	11
001275	31
001275	27
001275	26
001275	19
001275	23
001282	26
001282	25
001286	13
001286	12
001286	11
001286	10
001288	195
001288	158
001290	34
001290	20
001291	35
001291	35
001291	22
001295	31
001295	29
001297	25
001297	22
001304	36
001304	19
001304	16
001306	336
001306	29
001307	45
001307	12
001309	26
001309	13
001313	184
001313	35
001316	134
001316	17
001317	46
001317	56
001317	48
001317	30
001317	22
001317	20
001317	13
001317	16
001317	15
001317	16
001325	61
001325	41
001325	19
001326	27
001326	16
001326	12
001326	16
001328	49
001328	19
001328	10
001328	14
001331	15
001331	12
001334	28
001334	27
001334	53
001334	66
001338	16
001338	14
001340	22
001340	22
001342	22
001342	16
001345	17
001345	18
001345	15
001345	12
001345	12
001355	23
001355	18
001357	17
001357	13
001359	29
001359	19
001359	20
001366	23
001366	16
001366	12
001366	100
001368	18
001368	11
001371	17
001371	13
001375	17
001375	15
001375	14
001382	15
001382	13
001390	23
001390	19
001398	34
001398	102
001407	38
001407	35
001411	46
001411	11
001412	14
001412	13
001414	27
001414	24
001415	16
001415	10
001426	32
001426	13
001426	13
001433	17
001433	14
001435	30
001435	17
001443	21
001443	15
001447	18
001447	12
001449	14
001449	10
001458	26
001458	11
001465	17
001465	11
001484	24
001484	12
001484	15
001484	15
001486	95
001486	81
001496	19
001496	16
001498	23
001498	20
001499	22
001499	11
001511	237
001511	122
001517	82
001517	43
001517	42
001517	14
001519	40
001519	32
001522	45
001522	32
001522	12
001534	14
001534	13
001553	36
001553	18
001554	27
001554	27
001554	12
001554	36
001572	20
001572	12
001574	25
001574	18
001580	21
001580	19
001580	16
001580	11
001580	12
001582	16
001582	15
001593	23
001593	23
001595	18
001595	12
001599	64
001599	19
001607	22
001607	18
001611	37
001611	15
001619	33
001619	29
001619	26
001629	31
001629	23
001634	155
001634	12
001635	16
001635	10
001636	11
001636	10
001638	14
001638	12
001649	53
001649	23
001649	21
